loops = 1, updated = 392, filled_count = 392
loops = 2, updated = 438, filled_count = 438
loops = 3, updated = 1512, filled_count = 1512
loops = 4, updated = 2080, filled_count = 2080
loops = 5, updated = 5859, filled_count = 5859
loops = 6, updated = 10329, filled_count = 10329
loops = 7, updated = 20136, filled_count = 20120
loops = 8, updated = 41435, filled_count = 40958
loops = 9, updated = 75551, filled_count = 72104
loops = 10, updated = 124772, filled_count = 112600
loops = 11, updated = 163698, filled_count = 143436
loops = 12, updated = 281111, filled_count = 222935
loops = 13, updated = 395245, filled_count = 303175
loops = 14, updated = 679013, filled_count = 469495
loops = 15, updated = 840745, filled_count = 570610
loops = 16, updated = 1218216, filled_count = 749733
loops = 17, updated = 1787762, filled_count = 1003068
loops = 18, updated = 1959793, filled_count = 1111648
loops = 19, updated = 2696137, filled_count = 1418141
loops = 20, updated = 3817102, filled_count = 1858302
loops = 21, updated = 5321182, filled_count = 2493122
loops = 22, updated = 7411770, filled_count = 3275215
loops = 23, updated = 10180398, filled_count = 4241134
loops = 24, updated = 10542934, filled_count = 4472316
loops = 25, updated = 13186302, filled_count = 5203065
loops = 26, updated = 16559917, filled_count = 6070480
loops = 27, updated = 20249819, filled_count = 6986764
loops = 28, updated = 24254495, filled_count = 7971905
loops = 29, updated = 30685862, filled_count = 9501122
loops = 30, updated = 35923409, filled_count = 10781732
loops = 31, updated = 41523363, filled_count = 12083381
loops = 32, updated = 47298131, filled_count = 13320195
loops = 33, updated = 53142235, filled_count = 14474993
loops = 34, updated = 58991971, filled_count = 15540551
loops = 35, updated = 64780845, filled_count = 16529055
loops = 36, updated = 70468556, filled_count = 17451940
loops = 37, updated = 72397722, filled_count = 18398043
loops = 38, updated = 78413183, filled_count = 19187704
loops = 39, updated = 84203104, filled_count = 19916800
loops = 40, updated = 89378818, filled_count = 20552813
loops = 41, updated = 94092477, filled_count = 21114198
loops = 42, updated = 98434182, filled_count = 21619946
loops = 43, updated = 102456635, filled_count = 22079063
loops = 44, updated = 106208390, filled_count = 22492926
loops = 45, updated = 109708544, filled_count = 22865768
loops = 46, updated = 112975011, filled_count = 23203402
loops = 47, updated = 116035890, filled_count = 23509212
loops = 48, updated = 118893522, filled_count = 23785294
loops = 49, updated = 121559094, filled_count = 24035547
loops = 50, updated = 124038052, filled_count = 24262804
loops = 51, updated = 126345896, filled_count = 24470489
loops = 52, updated = 128484768, filled_count = 24661233
loops = 53, updated = 130462364, filled_count = 24835881
loops = 54, updated = 132287833, filled_count = 24996725
loops = 55, updated = 133970158, filled_count = 25143789
loops = 56, updated = 135512043, filled_count = 25278676
loops = 57, updated = 136923609, filled_count = 25402827
loops = 58, updated = 138206735, filled_count = 25515323
loops = 59, updated = 139376540, filled_count = 25617933
loops = 60, updated = 140438039, filled_count = 25711243
loops = 61, updated = 141395884, filled_count = 25796169
loops = 62, updated = 142254231, filled_count = 25873604
loops = 63, updated = 143021479, filled_count = 25944609
loops = 64, updated = 143705076, filled_count = 26009563
loops = 65, updated = 144315643, filled_count = 26069650
loops = 66, updated = 144859604, filled_count = 26125593
loops = 67, updated = 145344561, filled_count = 26177636
loops = 68, updated = 145773362, filled_count = 26225593
loops = 69, updated = 146152807, filled_count = 26270693
loops = 70, updated = 146489161, filled_count = 26312687
loops = 71, updated = 146785409, filled_count = 26352322
loops = 72, updated = 147047224, filled_count = 26389111
loops = 73, updated = 147281027, filled_count = 26423551
loops = 74, updated = 147489872, filled_count = 26455062
loops = 75, updated = 147674197, filled_count = 26484384
loops = 76, updated = 147838135, filled_count = 26511631
loops = 77, updated = 147984437, filled_count = 26536882
loops = 78, updated = 148114453, filled_count = 26560997
loops = 79, updated = 148230927, filled_count = 26583338
loops = 80, updated = 148334434, filled_count = 26604116
loops = 81, updated = 148427425, filled_count = 26623705
loops = 82, updated = 148510567, filled_count = 26642062
loops = 83, updated = 148587075, filled_count = 26659569
loops = 84, updated = 148656736, filled_count = 26675986
loops = 85, updated = 148720301, filled_count = 26691345
loops = 86, updated = 148778855, filled_count = 26706072
loops = 87, updated = 148832861, filled_count = 26719774
loops = 88, updated = 148883402, filled_count = 26732799
loops = 89, updated = 148929860, filled_count = 26744941
loops = 90, updated = 148971959, filled_count = 26756144
loops = 91, updated = 149010303, filled_count = 26766619
loops = 92, updated = 149044629, filled_count = 26776321
loops = 93, updated = 149075676, filled_count = 26785320
loops = 94, updated = 149103913, filled_count = 26793610
loops = 95, updated = 149129226, filled_count = 26801250
loops = 96, updated = 149151913, filled_count = 26808188
loops = 97, updated = 149172053, filled_count = 26814405
loops = 98, updated = 149189610, filled_count = 26819831
loops = 99, updated = 149204428, filled_count = 26824511
loops = 100, updated = 149217384, filled_count = 26828653
loops = 101, updated = 149228308, filled_count = 26832287
loops = 102, updated = 149237824, filled_count = 26835349
loops = 103, updated = 149245463, filled_count = 26837950
loops = 104, updated = 149251739, filled_count = 26840162
loops = 105, updated = 149257009, filled_count = 26842011
loops = 106, updated = 149261177, filled_count = 26843496
loops = 107, updated = 149264449, filled_count = 26844740
loops = 108, updated = 149266932, filled_count = 26845702
loops = 109, updated = 149268832, filled_count = 26846410
loops = 110, updated = 149270131, filled_count = 26846900
loops = 111, updated = 149270921, filled_count = 26847216
loops = 112, updated = 149271458, filled_count = 26847431
loops = 113, updated = 149271780, filled_count = 26847553
loops = 114, updated = 149271968, filled_count = 26847617
loops = 115, updated = 149272067, filled_count = 26847646
loops = 116, updated = 149272134, filled_count = 26847660
loops = 117, updated = 149272150, filled_count = 26847665
loops = 118, updated = 149272160, filled_count = 26847670
loops = 119, updated = 149272162, filled_count = 26847671
loops = 120, updated = 149272162, filled_count = 26847671
100: 110 (0 sec), 124 (1484.34 sec)
